experiment,seed,macro_minADE_final,top1_ADE,top1_FDE,minADE,minFDE,Brier-minFDE,miss_rate_2m,parameters,vehicle_minADE,pedestrian_minADE,cyclist_minADE,minADE_3s,minADE_5s,minADE_final,turning_minADE,straight_minADE,interactive_minADE,intersection_minADE
A4,17,2.209086281292077,3.2178265178183714,8.264640808105469,3.2178265178183714,8.264640808105469,8.264640808105469,0.8098000288009644,1115350,3.4084090902875275,0.8209550845961578,2.3978946689925444,1.0737978014218807,2.3749815055675505,3.2178265178183714,4.937970296167946,2.7216422285836632,3.2141928795576393,3.278331203967672
A4,29,2.125429086380709,3.0910341386365894,7.961396217346191,3.0910341386365894,7.961396217346191,7.961396217346191,0.8015999794006348,1115350,3.27241472692532,0.8157205022385183,2.288152029978287,1.0342331885564329,2.2787160604505536,3.0910341386365894,4.728416065591288,2.617261563623009,3.087186187614622,3.163297147254196
A4,43,2.168876014173373,3.1439648130289717,8.089470863342285,3.1439648130289717,8.089470863342285,8.089470863342285,0.8022000193595886,1115350,3.328744608294437,0.8169983334843056,2.3608851007413776,1.0479100750813883,2.3185127450256346,3.1439648130289717,4.846518849355122,2.6456761406575615,3.1383820654957866,3.2104634855368492
A5,17,1.9945605905879633,2.958370540174643,7.578611850738525,2.958370540174643,7.578611850738525,7.578611850738525,0.7940000295639038,1115350,3.1343351924298775,0.7792878049371489,2.0700587743968635,1.003673329663277,2.1890453407444954,2.958370540174643,4.0266433583927626,2.6584323884232415,2.9648743207652735,2.9931386601653416
A5,29,1.9983646321333983,2.948204139670531,7.558877944946289,2.948204139670531,7.558877944946289,7.558877944946289,0.7961999773979187,1115350,3.1221062337006247,0.7918662153789519,2.0811214473206183,0.9990799949034055,2.180747659164429,2.948204139670531,4.039290035181526,2.6421963613150394,2.9557900396219017,2.9845217975016003
A5,43,1.9993670692766825,2.9591677862771353,7.585160732269287,2.9591677862771353,7.585160732269287,7.585160732269287,0.7921000123023987,1115350,3.1352349617920856,0.7740327058767406,2.0888335401612212,1.004279062460661,2.1895883972177503,2.9591677862771353,4.06574121765325,2.6522286685876515,2.9670549796446917,2.9940443195710595
A6,17,1.991754727385486,2.9245932088057205,7.467778205871582,2.9245932088057205,7.467778205871582,7.467778205871582,0.7904999852180481,1115350,3.096593242574313,0.7849215726087386,2.093749366973406,1.001358307697773,2.1681607448339464,2.9245932088057205,4.0460874282492645,2.614673049950705,2.932154512912872,2.9660377460278395
A6,29,1.9743711199387335,2.909993964099089,7.447285175323486,2.909993964099089,7.447285175323486,7.447285175323486,0.7892000079154968,1115350,3.0813531557015996,0.784844608394792,2.0569155957198095,0.9939253486688933,2.1554003663220405,2.909993964099089,4.071672991581655,2.585661515035635,2.917953491493254,2.958318226364581
A6,43,1.9777006400350927,2.8956702666187284,7.401968955993652,2.8956702666187284,7.401968955993652,7.401968955993652,0.7886999845504761,1115350,3.065642520605915,0.777173359606714,2.0902860398926486,0.9959049396733444,2.1469473244075776,2.8956702666187284,4.011115832907247,2.582265457297389,2.9038134072575246,2.9389132083010847
A7,17,1.1332291699253043,3.417923984379768,8.698719024658203,1.4844561422268552,3.4071781635284424,3.973056693501513,0.5490999817848206,1115350,1.5584145458693794,0.5122193315341571,1.3290536323723765,0.5369540933855375,1.1050438486533165,1.4844561422268552,2.6116608924458093,1.1480659823306805,1.4769512207620408,1.5353610018033763
A7,29,1.1668202299680681,3.388018067442576,8.61050796508789,1.5118065010182065,3.4099016189575195,3.9348674669979706,0.5784000158309937,1115350,1.5879106954125206,0.4941687752966508,1.4183812191950331,0.5611924418417613,1.1412025122861862,1.5118065010182065,2.5165241890031327,1.2097125498245016,1.5071399828216054,1.546815139760913
A7,43,1.1550622973359363,3.367211866022746,8.563007354736328,1.5031725706879298,3.393998384475708,3.92016800958773,0.5748999714851379,1115350,1.5775460741835283,0.5201550363365786,1.3674857814877022,0.5590834490519762,1.1340191560068131,1.5031725706879298,2.479501637284899,1.207840082598865,1.4974953535081064,1.5368022294456174
